"l2","year","median","lo90","hi90","lo50","hi50"
"L2-14: Computer Vision & Image Processing",2016,9.3227895,7.93418471,10.8365497,8.74322645,9.947662875
"L2-14: Computer Vision & Image Processing",2017,9.6685854,8.381210295,11.1004552,9.135954375,10.23924575
"L2-14: Computer Vision & Image Processing",2018,10.0222165,8.764994415,11.39566855,9.484044325,10.55877225
"L2-14: Computer Vision & Image Processing",2019,10.369054,9.144529895,11.6712501,9.85433095,10.89672025
"L2-14: Computer Vision & Image Processing",2020,10.4166085,9.19259868,11.6704182,9.9159597,10.91894625
"L2-14: Computer Vision & Image Processing",2021,10.6152245,9.40791466,11.8742674,10.105343,11.12158375
"L2-14: Computer Vision & Image Processing",2022,10.801961,9.52750694,12.1200079,10.27857375,11.3370925
"L2-14: Computer Vision & Image Processing",2023,11.0519295,9.79174589,12.3776817,10.51531725,11.611794
"L2-14: Computer Vision & Image Processing",2024,11.1870915,9.799962465,12.6133008,10.613505,11.75487775
"L2-14: Computer Vision & Image Processing",2025,11.078317,9.575328595,12.566986,10.47894275,11.6814115
"L2-15: Machine Learning & Supervised Classification",2010,3.5817145,2.79672461,4.59961066,3.229328675,3.960720625
"L2-15: Machine Learning & Supervised Classification",2011,3.82731005,3.036024135,4.806539265,3.473094525,4.19547595
"L2-15: Machine Learning & Supervised Classification",2012,4.1153392,3.32263232,5.06265484,3.76491405,4.494603425
"L2-15: Machine Learning & Supervised Classification",2013,4.3913709,3.614673665,5.28762217,4.0652315,4.744922425
"L2-15: Machine Learning & Supervised Classification",2014,4.6450214,3.92789191,5.4635981,4.330021,4.9758515
"L2-15: Machine Learning & Supervised Classification",2015,5.0264566,4.309749605,5.80456847,4.72887035,5.32786395
"L2-15: Machine Learning & Supervised Classification",2016,5.33820095,4.67105072,6.068496655,5.06056815,5.639353325
"L2-15: Machine Learning & Supervised Classification",2017,5.51367715,4.88625439,6.17496073,5.248809275,5.779279325
"L2-15: Machine Learning & Supervised Classification",2018,5.65373555,5.070098065,6.296238805,5.4180642,5.9074504
"L2-15: Machine Learning & Supervised Classification",2019,5.7397647,5.187643505,6.3381792,5.505687325,5.98360825
"L2-15: Machine Learning & Supervised Classification",2020,5.8290606,5.259924985,6.428295545,5.5890419,6.068974875
"L2-15: Machine Learning & Supervised Classification",2021,5.75172935,5.150251715,6.353646475,5.506299725,5.995811025
"L2-15: Machine Learning & Supervised Classification",2022,5.67472955,5.017402735,6.308968665,5.4084165,5.933502825
"L2-15: Machine Learning & Supervised Classification",2023,5.8561585,5.260338615,6.4833376,5.605870375,6.11094405
"L2-15: Machine Learning & Supervised Classification",2024,5.6192757,4.98401375,6.28678905,5.355395375,5.88543245
"L2-15: Machine Learning & Supervised Classification",2025,5.5347531,4.88944301,6.201228385,5.271098525,5.801039
"L2-16: Deep Learning & Neural Networks",2010,3.18589235,2.08687262,4.858798055,2.658133525,3.79351135
"L2-16: Deep Learning & Neural Networks",2011,3.49821345,2.331891945,5.178460185,2.94347365,4.118991525
